"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"4.7u,4.7u";"R_0402_1005Metric";2;"4.7u";;;
2;"1u (10v)";"R_0402_1005Metric";1;"1u (10V)";;;
3;"55k";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"55k";;;
4;"C4";"R_0402_1005Metric";1;"2.2u";;;
5;"R2,10k";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"10k";;;
6;"C1";"R_0402_1005Metric";1;"10u";;;
7;"R5";"R_0603_1608Metric";1;"172k";;;
8;"Bip-DAC (AD5761R)";"AD5721";1;"AD5721RBRUZ";;;
9;"J2";"PinHeader_1x01_P2.00mm_Vertical";1;"Conn_01x01";;;
10;"J1";"PinHeader_1x06_P2.00mm_Vertical";1;"Conn_01x06";;;
11;"PS1";"LM27762DSST";1;"LM27762DSSR";;;
