Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0402_1005Metric",39.360000,-2.810000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",40.990000,-20.650000,0.000000,top
"C3","1uF","C_0402_1005Metric",40.460000,-26.200000,90.000000,top
"C4","1uF","C_0402_1005Metric",45.630000,-27.150000,-90.000000,top
"C5","10uF","C_0402_1005Metric",46.770000,-27.140000,-90.000000,top
"C6",".1uF","C_0402_1005Metric",38.320000,-6.600000,-125.000000,top
"C7","1uF","C_0402_1005Metric",40.020000,-15.730000,90.000000,top
"C8","47uF","C_0805_2012Metric",15.520000,-2.390000,90.000000,top
"C9","1uF","C_0402_1005Metric",44.220000,-19.370000,180.000000,top
"C10","1uF","C_0402_1005Metric",41.470000,-13.380000,-135.000000,top
"C11","10uF","C_0402_1005Metric",40.740000,-12.590000,-135.000000,top
"IC1","ADS1120IRVAR","QFN50P350X350X100-17N-D",35.600000,-3.790000,90.000000,top
"IC2","MCP1502T-50E_CHY","SOT95P280X145-6N",42.070000,-23.030000,180.000000,top
"IC3","INA827AIDGK","INA827AIDGK",42.300000,-5.730000,90.000000,top
"IC4","W25N04KVZEIR","SON127P800X600X80-9N-D",26.200000,-3.585000,0.000000,top
"J1","ATF13-4P-BM13","DTF134PG003",48.850000,-9.750000,180.000000,top
"J2","SJ-3541AS-SMT-TR-67","SJ3541ASSMTTR67",5.190000,-4.470000,0.000000,top
"J3","USB_C_Plug_USB2.0","USB_C_PLACE",1.480000,-17.490000,90.000000,top
"J4","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",36.740000,-26.670000,180.000000,top
"PS1","AP2120N-2.5TRG1","AP2120N-2.5TRG1",42.890000,-26.780000,180.000000,top
"PS2","TPSM83100SIUR","TPSM83100SIUR",17.410000,-6.320000,-90.000000,top
"PS3","AP2120N-5.0TRG1","AP2120N-5.0TRG1",42.460000,-16.210000,180.000000,top
"R1","45.5","R_0402_1005Metric",27.330000,-7.490000,0.000000,top
"R2","45.5","R_0402_1005Metric",29.350000,-7.500000,180.000000,top
"R3","45.5","R_0402_1005Metric",25.340000,-7.500000,0.000000,top
"R4","45.5","R_0402_1005Metric",11.990000,-27.550000,0.000000,top
"R5","45.5","R_0402_1005Metric",17.580000,-27.790000,180.000000,top
"R6","200","R_0402_1005Metric",43.110000,-9.580000,180.000000,top
"R7","45.5","R_0402_1005Metric",23.310000,-27.790000,180.000000,top
"R8","1k","R_0402_1005Metric",39.380000,-1.750000,180.000000,top
"R10","80.6k","R_0402_1005Metric",10.430000,-9.690000,-90.000000,top
"R11","806k","R_0402_1005Metric",10.430000,-11.770000,-90.000000,top
"R12","100k","R_0402_1005Metric",20.450000,-27.790000,180.000000,top
"R13","5k","R_0402_1005Metric",9.720000,-22.000000,-90.000000,top
"R14","45.5","R_0402_1005Metric",32.270000,-3.600000,-120.000000,top
"R16","45.5","R_0402_1005Metric",20.990000,-4.790000,-90.000000,top
"R17","45.5","R_0402_1005Metric",21.610000,-7.220000,-90.000000,top
"R18","45.5","R_0402_1005Metric",23.100000,-7.540000,180.000000,top
"R19","45.5","R_0402_1005Metric",20.260000,-7.200000,-90.000000,top
"U1","esp32 c6 xiao","esp32 c6 smt",21.608500,-17.448400,90.000000,top
"U2","AD5626BRMZ","AD5626",36.040000,-10.120000,-90.000000,top
